number,author,data,commit-info,father_version,src_modify_file_num,src_hunk_num,src_add_lines_num,src_delete_lines_num,test_modify_file_num,test_hunk_num,test_add_lines_num,test_delete_lines_num,common_modify_file_num,common_hunk_num,common_add_lines_num,common_delete_lines_num,test_class_add_num,test_class_sub_num,test_class_modify_num,test_method_add_num,test_method_sub_num,test_method_modify_num,src_class_add_num,src_class_sub_num,src_class_modify_num,src_method_add_num,src_method_sub_num,src_method_modify_num
e9ec8b5,Simone Tripodi,2011-05-22 16:16:17 +0000,fixed Class raw type,37c467f7a1f41cc200d94795e48e8a6407c33486,2,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
fc1abec,Simone Tripodi,2011-05-22 16:09:52 +0000,fixed Class raw type,1ff42bc03e1baecab328df0138936ef7208ff129,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
9537b6b,Simone Tripodi,2011-05-22 15:58:40 +0000,fix for unstable build #84,fdab54054cde7bf90d7347b502176ce5676e7359,1,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
c4f0e4a,Simone Tripodi,2011-05-22 15:28:33 +0000,fixed generic Class raw type,ac701465abc1b4048c68de8bcf3359d3c2e3b2b9,3,6,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4
ac70146,Simone Tripodi,2011-05-22 15:15:43 +0000,"fixed generic Class raw type convertValue() signature cannot be ported to <S, T> T convertValue(S,T) because it handles arrays too",821c872dabf86a0102152533b29b02633754310f,1,4,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
821c872,Simone Tripodi,2011-05-22 13:58:06 +0000,fixed generic Class raw type,7d0d8b63c262b5c5dccb733922b105518ebfc8e2,1,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
485677d,Simone Tripodi,2011-05-22 13:41:54 +0000,fixed enumeration raw type,2dbef3df0533b8af58656fd217d6333e01382521,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2dbef3d,Simone Tripodi,2011-05-22 13:08:38 +0000,fixed Iterator<T> wrapper raw type,fd68a533225ed698deabef243b0e446120046854,4,7,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,4
fd68a53,Simone Tripodi,2011-05-22 12:48:02 +0000,fixed Enumeration/Iterator raw type,da560d76b1c3499e1c6b33feeb8e7e4e9e597451,1,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
3543d98,Simone Tripodi,2011-05-22 12:37:42 +0000,fixed ElementAccessor.getElements(Object) raw type and related implementations,f51f360183b438f17070e35e9e43bb187a5939c5,8,8,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,7
f51f360,Simone Tripodi,2011-05-22 12:24:48 +0000,fixed ArrayList raw type,ca8ff94b8c39828c8b06b75dadf394c4e7408005,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2982fa8,Simone Tripodi,2011-05-22 12:20:29 +0000,fixed List raw type,d9f39e1e09e098e31e2aab4d5e43d52eed567b68,1,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
d9f39e1,Simone Tripodi,2011-05-22 12:17:51 +0000,fixed Set raw type,e6f7a110c1d318c6e6eab29247362f4c92ae9cf3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
e6f7a11,Simone Tripodi,2011-05-22 12:16:46 +0000,fixed Iterator raw type,ee7451b1b1fd15066fe1635582e54d0979fe945e,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
ee7451b,Simone Tripodi,2011-05-22 12:16:10 +0000,fixed Enumeration raw type,dca946a4acd10a4f003fd21ee7e8a3742ce3550d,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
f9005ae,Simone Tripodi,2011-05-22 11:52:51 +0000,fixed Class raw type,e562cc201b3ca7a7a6e0230aa0f8cfb2fe829b4d,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
f3e1b68,Simone Tripodi,2011-05-22 11:36:31 +0000,fixed Class raw type,91a151fd5d1c0d7065ca372923b1766f710e7a90,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
9432bdc,Simone Tripodi,2011-05-22 11:32:20 +0000,fixed Class raw type,0fa86b002a0d936b76b8ed1aafb0ac36fa85a253,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
02f574f,Olivier Lamy,2011-05-18 09:34:37 +0000,fix checktyle issue,684898f360040eee428be04ee4c21b90fcbed180,3,5,18,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4
64e235a,Simone Tripodi,2011-05-18 09:16:10 +0000,fixed generics warning,607c9603604f697ca936b6d2fb6207a0d4d281b7,2,25,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11
1a449dc,Simone Tripodi,2011-05-18 06:57:40 +0000,fixed generics warning,b49256382e577cf96b70bd9e5b611277c25e994b,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2f6daa5,Simone Tripodi,2011-05-18 06:49:54 +0000,fixed generics warning,47052b31288829f0b26c056cae224c2a70041cfe,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
e44ea76,Simone Tripodi,2011-05-17 19:21:17 +0000,fix for broken build # 51,8d95a52aef0319a08bf3cabdde2759650435ede0,1,2,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
81cb2eb,Olivier Lamy,2011-05-14 15:38:11 +0000,[OGNL-11] start fixing checkstyle issue,af0170a93d18bbad618e653eabe6136d405d0107,66,202,201,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0
f825a81,Simone Tripodi,2011-05-14 12:05:50 +0000,"fixed IAE message, specified key that caused the fail",3c6b4cfe8664b38b63024de92c3d9f7c43a9ad2d,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
d836d55,Simone Tripodi,2011-05-13 10:29:50 +0000,fixed changes descriptor path,6bfe4676e70439faa4917ec8d6692ca61670dbb1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ed372e8,Olivier Lamy,2011-05-11 17:04:23 +0000,fix junit which was machine encoding dependent,c34992201979472625dee78b4309f7ac6a1e41e0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
c349922,Olivier Lamy,2011-05-11 16:58:43 +0000,[OGNL-5] change java package from ognl to org.apache.commons.ognl fix unit failure,19477b963bf3005276fef9c7dc537b5c48aa9b57,0,0,0,0,1,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
09ba0e6,Olivier Lamy,2011-05-11 16:54:38 +0000,[OGNL-5] change java package from ognl to org.apache.commons.ognl fix unit failures,a42fc7c52d24eafe3702e3bcfde0cf69c35a5fe3,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
a42fc7c,Olivier Lamy,2011-05-11 16:37:53 +0000,[OGNL-5] change java package from ognl to org.apache.commons.ognl start the job still need some unit failures to fix !!,a944d54725845b21d902ae61764293b6594f104b,120,159,280,224,125,139,354,303,3,0,0,0,0,0,125,0,0,7,0,0,120,0,0,25
