"7e3b9fa","Maurizio Cucchiara","2011-10-25 22:57:18 +0000","OGNL-28 -  Visitor pattern needs way to propagate exceptions (recovered after the merge)"
"eacf8cb","Maurizio Cucchiara","2011-10-25 17:31:01 +0000","Small  simplification"
"c8cded0","Maurizio Cucchiara","2011-10-25 17:22:34 +0000","Small  simplification"
"f7a819b","Maurizio Cucchiara","2011-10-25 17:21:56 +0000","Small  simplification"
"07ccb35","Maurizio Cucchiara","2011-10-25 17:17:55 +0000","Updated docs"
"c6e5a60","Maurizio Cucchiara","2011-10-25 17:09:32 +0000","If statement can be simplified"
"344416a","Maurizio Cucchiara","2011-10-25 17:09:13 +0000","If statement can be simplified"
"98ceb4a","Maurizio Cucchiara","2011-10-25 17:08:55 +0000","If statement can be simplified"
"6e7e119","Maurizio Cucchiara","2011-10-25 17:06:54 +0000","If statement can be simplified"
"e92134c","Maurizio Cucchiara","2011-10-25 17:04:57 +0000","If statement can be simplified"
"418c984","Maurizio Cucchiara","2011-10-25 17:04:15 +0000","If statement can be simplified"
"4351f04","Maurizio Cucchiara","2011-10-25 17:03:22 +0000","Small simplification"
"21d3a9f","Maurizio Cucchiara","2011-10-25 16:59:54 +0000","Use non-depecrated version of the method"
"6eef08f","Maurizio Cucchiara","2011-10-25 16:49:57 +0000","removed useless old cache (see http://s.apache.org/OvY)"
"2b8ec98","Maurizio Cucchiara","2011-10-25 16:02:25 +0000","removed redundant cast"
"18b3031","Maurizio Cucchiara","2011-10-25 16:01:59 +0000","replaced for with for each"
"b896b76","Maurizio Cucchiara","2011-10-25 16:00:58 +0000","Mask is a magic number"
"f45f183","Maurizio Cucchiara","2011-10-25 15:29:43 +0000","OgnlTestCase case is an abstract class now"
"2805d18","Maurizio Cucchiara","2011-10-25 15:14:04 +0000","Fixed checkstyle warning (added missing parenthesis)"
"27cc181","Maurizio Cucchiara","2011-10-25 15:12:31 +0000","Fixed checkstyle warning (added missing parenthesis)"
"9679698","Maurizio Cucchiara","2011-10-25 15:09:55 +0000","Fixed checkstyle warning (removed public keyword from interface)"
